Student_ID,Age,Gender,Course,Year_of_Study,Monthly_Income,Food_Expense,Transport_Expense,Entertainment_Expense,Shopping_Expense,Rent_Hostel_Fee,Mobile_Recharge,Family_Income,Scholarship,Savings_Amount,Saving_Class
1052,23,Male,B.Tech IT,4,24026,1878,1811,1473,2743,2500,399,118823,No,13222,High
1053,20,Male,MBA,1,18365,4343,2062,2488,1509,0,249,132970,No,7714,High
1054,19,Female,BBA,1,19450,2799,1838,2053,2514,5500,399,36350,Yes,4347,Medium
1055,23,Female,B.Com,1,21462,2600,2102,1698,1971,0,499,131304,Yes,12592,High
1056,21,Female,BBA,3,19119,4053,650,1079,1865,2500,599,69711,No,8373,High
1057,23,Male,B.Tech CS,1,15268,3364,1091,2033,2023,4500,499,138006,Yes,1758,Medium
1058,19,Male,BBA,2,18948,3478,788,584,636,4500,499,121872,No,8463,High
1059,21,Female,B.Tech IT,1,8325,3284,1497,1948,2490,5500,599,80141,No,0,Low
1060,19,Female,B.Tech IT,3,9195,3939,1055,2096,2412,5500,249,76663,Yes,0,Low
1061,24,Male,BCA,1,17024,4465,1064,1063,1695,0,299,87884,No,8438,High
1062,19,Male,BCA,2,21545,4232,1262,3123,359,0,499,118063,No,12070,High
1063,19,Female,BBA,1,24204,3562,1282,2613,2010,2500,599,138034,Yes,11638,High
1064,20,Female,MBA,2,8944,2964,893,2593,696,5500,249,37187,No,0,Low
1065,21,Male,MBA,1,8574,2548,1552,889,963,5500,299,31560,Yes,0,Low
1066,23,Male,BCA,2,21651,2873,926,1277,1336,0,249,140486,No,14990,High
1067,24,Male,B.Com,1,22299,2056,1629,2623,2790,2500,399,45252,No,10302,High
1068,22,Female,B.Tech IT,1,15803,3833,1840,3085,344,0,499,95315,Yes,6202,High
1069,23,Female,MBA,3,20056,3815,779,2770,1403,3500,599,138427,No,7190,High
1070,24,Male,BCA,1,9885,4284,1414,2556,990,0,499,37301,No,142,Low
1071,22,Female,B.Com,4,14784,2702,1381,609,855,4500,249,88759,Yes,4488,High
1072,22,Female,B.Tech IT,3,18236,4163,1142,1453,2335,2500,299,99969,No,6344,High
1073,24,Male,BBA,2,7990,3787,1934,2013,2190,5500,599,82371,No,0,Low
1074,21,Female,B.Com,2,19114,3811,769,1780,831,2500,399,72036,No,9024,High
1075,20,Male,BBA,1,21289,3191,623,1756,1308,3500,599,85706,Yes,10312,High
1076,24,Male,BBA,2,18369,3464,1931,937,1966,3500,399,76557,Yes,6172,High
1077,22,Male,BBA,2,17638,4442,2011,522,1727,3500,599,94402,Yes,4837,Medium
1078,23,Male,B.Tech IT,2,21134,4190,1029,1508,1109,2500,299,106695,Yes,10499,High
1079,18,Male,B.Tech CS,3,12045,2730,1645,563,2046,3500,499,128102,No,1062,Low
1080,24,Female,B.Tech CS,3,12860,3495,1832,1077,2520,4500,299,76590,No,0,Low
1081,21,Male,BCA,4,9445,2840,909,3460,2322,4500,299,109577,No,0,Low
1082,18,Male,B.Com,2,14426,3349,1985,3435,2049,4500,599,114998,No,0,Low
1083,19,Female,B.Tech CS,1,7481,3047,1504,1705,748,3500,299,111618,No,0,Low
1084,18,Male,BBA,1,18728,1928,1440,794,1872,0,249,36293,Yes,12445,High
1085,23,Male,B.Tech CS,1,11287,3809,529,1220,2383,5500,499,97196,Yes,0,Low
1086,21,Male,B.Tech CS,2,8500,4470,601,2036,2172,5500,599,98036,No,0,Low
1087,18,Female,BCA,1,14307,3887,1426,1031,1502,2500,599,71760,Yes,3362,Medium
1088,19,Female,B.Tech CS,2,17887,3881,1007,1107,455,2500,399,143045,Yes,8538,High
1089,19,Female,B.Tech CS,3,15928,2972,1430,1790,2848,3500,399,111855,No,2989,Medium
1090,22,Female,BCA,4,19882,2918,874,3389,888,5500,499,141636,Yes,5814,Medium
1091,24,Female,B.Tech IT,3,23176,2097,1774,2484,2288,0,399,123532,Yes,14134,High
1092,21,Male,MBA,1,18523,2478,513,997,2858,0,399,137399,No,11278,High
1093,18,Male,BBA,1,7866,2270,2077,1596,1995,0,599,73053,No,0,Low
1094,18,Male,B.Tech CS,4,17210,3432,1520,1920,2780,4500,249,133739,Yes,2809,Medium
1095,21,Male,B.Tech IT,4,11999,3104,2085,3433,1942,0,499,69422,No,936,Low
1096,22,Male,B.Tech CS,4,15225,4026,1778,2079,611,0,399,85992,Yes,6332,High
1097,20,Male,BCA,3,20186,4361,1502,942,1540,4500,599,32069,Yes,6742,High
1098,21,Male,MBA,4,24356,2180,1133,679,1075,4500,599,126952,No,14190,High
1099,24,Female,B.Tech CS,1,20552,3240,2091,1856,821,4500,249,140398,No,7795,High
1100,21,Male,B.Tech IT,3,10336,4141,1344,3002,878,0,599,82461,Yes,372,Low
1101,21,Female,B.Tech IT,1,9011,2379,806,2258,1126,0,499,36218,Yes,1943,Medium
1102,20,Female,BBA,3,7983,3387,522,3391,1541,0,249,44154,Yes,0,Low
1103,24,Male,B.Tech IT,1,19709,3335,1614,2250,596,4500,299,62965,No,7115,High
1104,24,Male,BCA,4,14188,2197,2135,2757,1798,5500,599,98069,Yes,0,Low
1105,19,Female,BBA,3,11400,2674,1887,2435,2407,0,299,106877,No,1698,Medium
1106,18,Male,B.Com,3,22621,2680,721,3200,2978,5500,399,124209,Yes,7143,High
1107,24,Male,B.Com,2,20071,3358,825,1077,1018,0,399,72251,Yes,13394,High
1108,18,Male,BCA,1,13854,2246,1057,2872,413,0,599,52839,No,6667,High
1109,18,Female,B.Com,4,18957,1828,515,812,1169,0,249,48849,No,14384,High
1110,21,Female,B.Com,1,9422,4037,861,2271,443,2500,299,133393,No,0,Low
1111,21,Female,BCA,3,18087,4304,1087,800,2147,3500,599,76698,Yes,5650,High
1112,20,Male,BBA,3,16943,2362,880,2488,1236,0,299,48211,Yes,9678,High
1113,24,Male,B.Com,3,22490,4355,1131,553,1012,4500,599,60031,Yes,10340,High
1114,22,Male,B.Tech CS,4,7074,4199,1878,1865,2021,4500,399,110661,Yes,0,Low
1115,19,Male,B.Tech IT,3,20450,3388,951,2653,2404,0,299,101908,Yes,10755,High
1116,24,Female,MBA,4,21917,2342,1758,1389,1746,0,399,32902,No,14283,High
1117,18,Male,B.Tech IT,2,12396,2177,1560,2748,2206,5500,299,146606,No,0,Low
1118,24,Male,MBA,1,23791,4129,531,1809,895,5500,399,71557,Yes,10528,High
1119,24,Female,B.Com,1,7233,2456,1082,1260,2005,0,499,97446,No,0,Low
1120,22,Male,BBA,4,15457,2389,1116,1680,1481,0,499,30220,Yes,8292,High
1121,19,Female,B.Tech IT,3,21092,3252,2168,1103,2386,0,299,35304,Yes,11884,High
1122,24,Male,BBA,4,23907,3501,1840,1467,1415,2500,499,44370,No,12685,High
1123,23,Female,B.Com,2,14164,4011,1170,2878,426,2500,249,75419,Yes,2930,Medium
1124,20,Male,MBA,3,15334,2265,2084,2595,1928,3500,299,74725,No,2663,Medium
1125,20,Female,BCA,1,18966,2941,1926,2810,1011,4500,499,33112,No,5279,Medium
1126,20,Male,MBA,4,22702,2612,1505,991,1667,5500,399,34061,No,10028,High
1127,22,Female,B.Tech IT,3,9088,3152,582,3027,739,2500,599,111203,No,0,Low
1128,18,Male,B.Com,2,23363,2074,1456,1896,2765,3500,599,33363,Yes,11073,High
1129,21,Female,BCA,4,18333,4385,1941,548,2663,3500,299,61930,Yes,4997,Medium
1130,19,Female,B.Com,4,15253,2307,1228,2467,1915,0,249,76099,No,7087,High
1131,24,Female,BBA,4,11010,1834,895,2084,2568,0,399,96996,Yes,3230,Medium
1132,21,Female,BCA,3,24549,3043,1896,2836,428,0,249,57575,Yes,16097,High
1133,20,Male,BCA,3,19690,2207,1076,2497,2699,0,599,33588,No,10612,High
1134,23,Male,BCA,2,7610,1889,1483,2327,1278,4500,599,127273,Yes,0,Low
1135,20,Male,BBA,3,13674,3092,1963,1507,2972,0,249,78718,Yes,3891,Medium
1136,20,Female,B.Com,1,10912,3614,978,1255,653,3500,249,99524,No,663,Low
1137,18,Male,BCA,4,16902,2847,1671,3229,512,2500,399,47502,No,5744,High
1138,23,Female,BCA,3,20799,4036,1575,2239,396,5500,499,111097,Yes,6554,High
1139,23,Male,MBA,3,7393,1818,1940,1741,1699,0,499,93837,No,0,Low
1140,24,Male,BCA,3,7919,2563,1627,1082,1017,2500,599,110728,No,0,Low
1141,19,Male,BCA,2,21134,1845,983,3157,440,2500,599,34114,No,11610,High
1142,21,Female,B.Tech CS,2,7777,2823,847,2996,328,0,599,44433,No,184,Low
1143,23,Female,BBA,3,19913,3931,537,2081,699,0,599,110186,No,12066,High
1144,18,Male,B.Tech CS,3,7681,3987,1472,1932,2832,0,299,71092,Yes,0,Low
1145,23,Male,B.Com,2,8636,3374,1732,3202,990,0,249,41487,Yes,0,Low
1146,23,Female,MBA,1,10392,3678,2184,1343,355,2500,599,142172,No,0,Low
1147,24,Female,BBA,1,15090,2421,1619,2911,1463,0,249,96383,Yes,6427,High
1148,18,Male,B.Tech CS,4,8224,2328,1218,1409,2803,0,399,103749,No,67,Low
1149,23,Female,B.Tech IT,4,18533,1933,791,2963,2177,2500,249,93291,Yes,7920,High
1150,24,Male,BBA,3,9604,2368,1443,1806,1543,0,299,144114,Yes,2145,Medium
1151,20,Female,BCA,4,11998,1902,1609,3460,2956,3500,599,115338,No,0,Low
1152,19,Female,B.Tech IT,2,16936,3082,1013,2189,664,5500,399,66058,No,4089,Medium
1153,22,Female,BCA,4,11076,4055,732,1891,1994,5500,249,35364,Yes,0,Low
1154,22,Male,BBA,3,23829,2751,769,788,1650,5500,399,76454,Yes,11972,High
1155,21,Female,BBA,1,12197,1950,1323,2923,1314,0,299,110178,Yes,4388,High
1156,20,Female,B.Tech CS,4,15100,3821,1401,618,2651,0,299,119288,No,6310,High
1157,19,Female,B.Tech CS,4,19389,2181,1585,681,1869,0,599,106416,No,12474,High
1158,22,Female,BBA,2,12132,4186,1740,2644,2260,5500,399,120455,Yes,0,Low
1159,21,Female,B.Tech IT,1,19923,3511,1294,2197,1213,3500,599,148595,Yes,7609,High
1160,21,Male,BBA,1,16921,2334,942,2670,1280,0,499,102210,No,9196,High
1161,20,Male,MBA,4,12735,3504,1202,760,846,4500,399,96430,Yes,1524,Medium
1162,24,Male,B.Com,3,18158,3033,1419,1772,2837,2500,249,82207,No,6348,High
1163,18,Female,B.Com,2,11229,2619,2006,2812,1597,5500,499,70361,Yes,0,Low
1164,20,Male,BCA,4,10929,4471,583,2277,1459,0,249,78717,No,1890,Medium
1165,23,Female,BBA,1,15663,3148,818,845,1428,5500,599,72098,Yes,3325,Medium
1166,20,Male,MBA,1,24051,4276,1185,536,505,3500,299,104077,Yes,13750,High
1167,21,Female,B.Tech IT,2,8607,3483,990,3077,2855,3500,499,98408,No,0,Low
1168,18,Male,B.Com,2,7690,4448,2159,2655,758,0,299,48276,Yes,0,Low
1169,20,Female,BBA,1,7423,2814,1388,1863,397,0,599,93881,Yes,362,Low
1170,23,Male,BCA,1,20256,4453,1118,3228,648,0,249,80424,Yes,10560,High
1171,24,Female,B.Tech IT,1,14877,3720,1151,915,2510,5500,599,105552,Yes,482,Low
1172,21,Male,B.Tech IT,2,13361,1805,2101,2205,2774,5500,599,93905,No,0,Low
1173,24,Male,B.Tech IT,1,21328,3035,1080,2926,1531,0,599,107881,No,12157,High
1174,22,Female,BCA,3,16272,3547,1168,1000,2425,0,249,145290,No,7883,High
1175,23,Male,BBA,2,24722,3415,1302,3398,1060,0,599,83375,Yes,14948,High
1176,23,Male,B.Com,1,14611,3287,1487,1418,2475,2500,399,124627,No,3045,Medium
1177,23,Female,BBA,1,23269,2950,662,3485,450,0,299,86590,No,15423,High
1178,20,Male,MBA,1,10843,2444,926,2677,1850,4500,599,42731,No,0,Low
1179,24,Female,B.Tech CS,3,8398,2382,1755,2476,2469,3500,499,48705,No,0,Low
1180,24,Male,B.Com,2,21556,3811,2148,1709,754,0,299,42149,No,12835,High
1181,20,Male,B.Com,1,24670,1920,1367,2238,2414,4500,299,108556,Yes,11932,High
1182,21,Female,B.Tech IT,3,20222,3402,1419,3468,2640,4500,299,100966,Yes,4494,Medium
1183,22,Female,BCA,1,8177,3134,1513,829,768,0,599,91921,No,1334,Medium
1184,19,Female,B.Com,3,10178,3354,2079,566,1192,2500,499,103430,Yes,0,Low
1185,21,Male,MBA,2,14154,4320,1476,2298,725,0,299,136844,No,5036,High
1186,18,Male,BBA,3,13102,3825,1140,1280,2356,4500,249,59317,No,0,Low
1187,20,Female,MBA,1,21817,2615,1235,2169,782,5500,299,122168,Yes,9217,High
1188,23,Female,B.Tech CS,4,7980,2440,1023,2099,872,5500,499,129702,Yes,0,Low
1189,19,Male,MBA,2,21645,3250,1500,1280,2031,2500,299,90340,No,10785,High
1190,21,Female,BBA,4,20228,3660,2157,2607,1304,0,499,83810,Yes,10001,High
1191,19,Male,BBA,3,8914,3546,666,1777,2135,4500,249,120971,No,0,Low
1192,20,Male,B.Tech IT,2,16408,4361,2049,2439,1490,0,499,119054,Yes,5570,High
1193,22,Female,BBA,2,12488,3942,828,2961,1974,0,249,33010,Yes,2534,Medium
1194,24,Male,MBA,3,11316,4053,1583,2056,2390,0,249,99476,No,985,Low
1195,22,Male,BBA,3,16445,2098,661,2348,2074,5500,499,85754,No,3265,Medium
1196,18,Male,BCA,3,17045,4051,856,3243,2415,3500,299,112431,No,2681,Medium
1197,24,Male,BBA,3,9507,3613,1827,2516,978,0,599,37302,Yes,0,Low
1198,24,Male,BCA,1,20976,3485,1401,581,1983,4500,249,55319,Yes,8777,High
1199,22,Female,B.Com,2,23967,1804,1368,2654,2289,2500,249,80061,Yes,13103,High
1200,24,Male,BBA,1,8666,3842,1734,888,1802,2500,499,96471,No,0,Low
1201,18,Female,BCA,3,24280,2741,624,3266,2012,0,599,48936,Yes,15038,High
1202,20,Female,B.Com,1,13505,1802,2027,2867,1307,0,249,31968,Yes,5253,High
1203,23,Male,B.Com,2,14050,3229,1658,3135,411,4500,599,111183,Yes,518,Low
1204,18,Female,BBA,2,10176,3701,951,3120,2829,3500,399,87106,Yes,0,Low
1205,23,Male,B.Tech IT,2,9966,4372,916,2641,928,3500,249,64917,No,0,Low
1206,21,Female,BCA,2,7575,1987,735,2704,1123,0,499,132120,No,527,Low
1207,22,Male,B.Tech CS,4,22663,3097,1442,2069,1044,0,249,109070,No,14762,High
1208,18,Male,BBA,3,7049,2162,1203,3106,2468,4500,299,128343,No,0,Low
1209,23,Female,B.Tech CS,2,20571,3887,999,919,2255,3500,599,103365,Yes,8412,High
1210,24,Female,B.Tech IT,4,21076,2883,1439,1521,2227,0,299,60061,Yes,12707,High
1211,18,Female,MBA,3,14988,2137,1325,1696,2943,2500,299,45294,No,4088,Medium
1212,24,Male,BBA,1,16850,4038,1438,2985,866,3500,499,70268,Yes,3524,Medium
1213,19,Male,B.Com,3,18358,3541,591,2088,1236,5500,249,94569,No,5153,Medium
1214,24,Male,B.Tech IT,2,21503,1979,2030,2537,628,3500,299,140569,Yes,10530,High
1215,20,Female,BCA,4,18861,2954,1180,1249,2696,5500,399,132954,Yes,4883,Medium
1216,23,Female,BCA,4,16739,2361,2023,1055,2182,2500,249,71987,Yes,6369,High
1217,18,Male,BCA,3,14087,3953,957,3007,2428,2500,499,102557,No,743,Low
1218,20,Female,B.Com,4,7857,3554,2095,3391,552,4500,249,129753,Yes,0,Low
1219,24,Female,BCA,3,8463,2589,889,2594,2885,3500,399,122275,Yes,0,Low
1220,19,Male,B.Tech CS,4,23770,4062,675,2795,1291,0,249,97103,Yes,14698,High
1221,18,Male,B.Tech CS,2,10547,3372,1267,2476,1289,2500,599,137077,Yes,0,Low
1222,24,Male,MBA,4,10604,4365,1775,1142,566,0,249,131741,No,2507,Medium
1223,20,Male,MBA,2,24786,4268,1003,2920,1588,0,399,134863,No,14608,High
1224,22,Female,B.Tech IT,1,13734,3743,1786,3009,998,3500,599,95811,No,99,Low
1225,19,Male,MBA,2,7329,3661,1735,535,1584,5500,249,139642,Yes,0,Low
1226,21,Male,BCA,1,15605,3387,1774,1910,2146,3500,249,143586,Yes,2639,Medium
1227,21,Female,B.Tech CS,4,22013,1828,1269,1966,2649,0,599,52682,No,13702,High
1228,23,Female,B.Tech IT,2,15560,2446,1055,3127,1118,0,249,115100,No,7565,High
1229,24,Male,MBA,4,20758,3029,988,2944,1558,0,399,93865,Yes,11840,High
1230,23,Male,B.Tech CS,2,10310,2915,1861,2408,545,5500,249,50475,Yes,0,Low
1231,24,Male,MBA,2,13191,3586,963,1496,2168,5500,499,129603,Yes,0,Low
1232,23,Female,BCA,3,8321,1994,1593,515,2621,4500,399,44833,No,0,Low
1233,24,Female,B.Com,4,12293,2673,2108,2943,1662,4500,299,81484,No,0,Low
1234,19,Female,B.Tech IT,1,19017,4084,2036,2182,774,0,599,105974,Yes,9342,High
1235,23,Female,B.Tech IT,3,12973,3089,1089,3187,2849,5500,399,121487,Yes,0,Low
1236,19,Male,B.Com,4,21187,3595,1913,2599,2566,4500,399,141246,No,5615,Medium
1237,24,Male,B.Tech IT,4,12722,3538,589,999,1488,0,499,117973,No,5609,High
1238,18,Female,B.Tech IT,1,23628,3089,533,2564,432,4500,249,49055,Yes,12261,High
1239,23,Female,BCA,2,14842,2915,1033,710,1669,5500,499,130043,No,2516,Medium
1240,19,Male,B.Tech IT,3,19806,2442,1194,3229,989,3500,399,103345,Yes,8053,High
1241,21,Female,B.Com,3,22401,3117,1634,2795,1328,3500,499,60303,No,9528,High
1242,18,Female,MBA,4,23950,2519,887,542,2737,3500,299,44221,No,13466,High
1243,20,Female,B.Com,4,10566,2545,851,1114,2344,4500,499,80716,Yes,0,Low
1244,20,Female,MBA,2,15993,3518,523,608,815,0,399,105982,No,10130,High
1245,19,Female,BCA,3,9943,3928,750,2740,795,3500,299,49888,No,0,Low
1246,24,Male,B.Tech IT,1,8273,2531,1906,3434,565,4500,599,41578,No,0,Low
1247,21,Male,B.Tech CS,3,7505,3798,1150,2791,1810,3500,299,142066,Yes,0,Low
1248,22,Male,B.Tech CS,2,23434,2457,736,1063,2552,0,499,42872,Yes,16127,High
1249,22,Male,B.Tech IT,3,9644,3113,1827,824,2026,0,599,33429,No,1255,Medium
1250,21,Female,MBA,3,24568,2670,2020,2889,797,3500,499,124305,No,12193,High
1251,18,Female,B.Tech IT,1,22721,1994,889,2258,2443,0,399,135237,No,14738,High
1252,20,Female,B.Tech IT,1,23296,1856,1744,590,1340,4500,299,64336,No,12967,High
1253,21,Male,MBA,2,15869,3000,813,1097,2806,3500,599,38824,Yes,4054,Medium
1254,20,Male,B.Com,2,8625,4229,697,855,1815,4500,399,102793,No,0,Low
1255,21,Female,B.Tech IT,3,23645,3023,873,2953,551,2500,399,101413,Yes,13346,High
1256,19,Male,MBA,1,17072,3982,1735,2204,791,2500,299,115059,Yes,5561,High
1257,22,Female,B.Tech IT,4,12094,2502,1631,1409,962,3500,599,96568,No,1491,Medium
1258,22,Female,BBA,2,15512,2383,794,1503,735,0,499,149350,Yes,9598,High
1259,21,Female,MBA,4,18252,2382,1683,2028,681,0,499,56905,Yes,10979,High
1260,24,Female,MBA,4,14222,3808,2179,1647,2694,2500,299,87067,Yes,1095,Low
1261,18,Female,B.Tech CS,4,20354,1909,2187,1608,1006,4500,249,77459,Yes,8895,High
1262,24,Female,BBA,3,11168,4318,676,1203,2663,5500,399,52571,Yes,0,Low
1263,20,Male,BBA,3,12875,3495,2051,3108,2065,0,599,58576,No,1557,Medium
1264,21,Female,B.Com,3,18692,3026,1416,749,501,0,499,130834,Yes,12501,High
1265,21,Male,B.Tech CS,3,22898,4320,1689,861,2761,5500,599,92530,No,7168,High
1266,20,Male,B.Com,3,9063,3077,1841,2774,2093,2500,299,33329,Yes,0,Low
1267,20,Female,B.Tech CS,1,23519,3367,869,886,1449,2500,249,125657,No,14199,High
1268,23,Female,BCA,1,13657,2617,1647,798,2083,0,499,124734,Yes,6013,High
1269,24,Female,BCA,2,17069,2046,1818,773,2312,2500,299,128319,Yes,7321,High
1270,21,Male,MBA,1,18545,1835,1475,1986,2022,0,499,46462,No,10728,High
1271,22,Male,BBA,4,9271,2992,1904,1682,1175,4500,399,80327,Yes,0,Low
1272,19,Female,MBA,4,14857,2640,1360,808,2467,3500,399,100959,No,3683,Medium
1273,23,Male,B.Com,3,11245,2753,1021,1208,2113,0,399,49018,No,3751,High
1274,20,Male,BCA,1,17328,1839,1665,1270,2019,5500,499,119843,No,4536,Medium
1275,19,Male,BCA,2,13097,4397,1089,2586,2840,0,299,63969,No,1886,Medium
1276,21,Male,MBA,4,17332,3164,941,1226,2441,5500,399,87965,Yes,3661,Medium
1277,23,Male,B.Tech IT,4,16497,3537,1865,3371,541,5500,599,49118,No,1084,Low
1278,19,Female,BBA,3,14253,2954,1934,1040,1952,0,599,40838,Yes,5774,High
1279,20,Female,B.Tech IT,2,10064,2459,1780,1656,2910,4500,599,109602,No,0,Low
1280,23,Female,B.Tech CS,2,9173,3225,1296,2476,1430,0,599,128109,No,147,Low
1281,20,Female,B.Com,2,7220,4378,947,1484,380,2500,249,146346,Yes,0,Low
1282,23,Male,MBA,1,24376,3445,1709,2621,2399,5500,299,111783,Yes,8403,High
1283,20,Female,BCA,4,10066,2894,1435,748,1390,0,299,102889,No,3300,High
1284,19,Male,B.Com,2,9128,3586,1572,3273,1326,5500,499,137726,No,0,Low
1285,19,Female,MBA,2,14167,3135,1498,2519,446,0,299,75233,Yes,6270,High
1286,22,Female,B.Tech IT,4,17068,2536,2127,2603,1214,0,299,81280,No,8289,High
1287,22,Female,MBA,4,15400,1843,1568,2115,2752,0,599,77951,Yes,6523,High
1288,24,Male,B.Com,1,22232,3450,1881,2830,2816,0,499,106150,Yes,10756,High
1289,24,Female,B.Tech IT,3,19863,1896,706,1351,727,3500,249,108209,No,11434,High
1290,24,Male,B.Tech CS,1,22689,3348,1850,3320,385,2500,499,41772,No,10787,High
1291,19,Male,B.Tech CS,2,15737,1816,698,1558,317,0,599,84910,No,10749,High
1292,22,Male,MBA,2,12389,3063,1639,606,447,5500,499,88138,No,635,Low
1293,23,Male,B.Tech CS,4,10792,2640,1115,2199,967,0,299,40955,No,3572,High
1294,21,Female,BBA,3,24261,1927,1143,1258,1990,0,399,116597,No,17544,High
1295,21,Female,BCA,1,24192,4455,1162,730,2579,4500,599,85993,Yes,10167,High
1296,19,Male,BBA,4,18441,3652,586,2308,359,3500,249,68738,Yes,7787,High
1297,19,Male,B.Tech CS,1,13554,3571,1164,3445,2679,2500,399,122736,Yes,0,Low
1298,21,Female,BBA,1,23688,4133,1301,1607,483,0,599,69728,No,15565,High
1299,21,Male,MBA,2,17478,2952,1112,3093,1014,3500,249,105107,No,5558,High
1300,18,Male,MBA,3,20775,3785,1304,2249,831,2500,249,60611,Yes,9857,High
